Date,Time,VSpd(m/s),Alt(m),A2(V),RSSI(dB),RxBt(V),Cels(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-11,15:27:26.490,0.0,0.0,0.0,0,0.0,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:26.890,0.0,0.0,6.6,94,4.2,0.00,3,2,-1024,-4,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:27.400,0.0,0.0,6.7,94,4.2,0.00,3,2,-1024,-3,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:27.900,0.0,0.0,6.8,94,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:28.400,0.0,0.0,6.7,94,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:28.900,0.0,-0.1,7.0,94,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:29.400,0.0,0.0,7.3,92,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:29.900,0.0,0.0,7.1,96,4.2,0.00,3,2,-1024,-3,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:30.420,0.0,-0.1,7.4,94,4.2,0.00,3,2,-1024,-3,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:30.920,0.0,-0.1,7.2,92,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:31.420,0.0,-0.1,7.2,95,4.2,0.00,2,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:31.920,0.0,0.0,7.0,92,4.2,0.00,3,2,-1024,-3,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:32.430,0.0,0.0,6.9,94,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:32.930,0.0,-0.1,6.9,92,4.2,0.00,3,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:33.430,0.0,0.0,7.2,92,4.2,0.00,2,2,-1024,-3,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:33.930,0.0,-0.1,7.1,92,4.2,0.00,2,2,-1024,-3,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:34.430,0.0,-0.1,7.1,94,4.2,0.00,2,2,-1024,-3,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
