Date,Time,TxBat(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),RSSI(dB),RX,RxBatt(V),GPS,GPS alt(m),GPS speed(knots),GPS clock(),VSpeed(m/s),Altitude(m),VFAS(V),Current(A),Consumption(mAh),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Ext1,Ext2,Pot3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ,
2025-07-09,12:15:27.040,7.72,,,,,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-500,456,385,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:27.260,7.71,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:27.520,7.71,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:27.780,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:28.050,7.71,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,456,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:28.320,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,456,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:28.580,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:28.850,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:29.120,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:29.410,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,456,385,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:29.680,7.70,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:29.950,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,387,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:30.210,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,458,387,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:30.490,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:30.750,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:31.020,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:31.290,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,387,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:31.570,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,458,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:31.850,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:32.120,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1,
2025-07-09,12:15:32.390,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,387,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:32.650,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:32.920,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:33.210,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:33.480,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:33.760,7.68,,,,,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-500,457,386,-589,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:34.020,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:34.280,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:34.540,7.68,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:34.810,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:35.080,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:35.340,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,458,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:35.600,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:35.870,7.68,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:36.140,7.69,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-589,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:36.400,7.68,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,387,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:36.670,7.68,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
2025-07-09,12:15:36.930,7.68,,,,,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1,
