TxBat(V),LiPo1(V),LiPo2(V),LiPo3(V),LiPo4(V),LiPo5(V),LiPo6(V),LiPo7(V),LiPo8(V),RSSI(dB),RX,RxBatt(V),VSpeed(m/s),Altitude(m),VFAS(V),Current(A),Consumption(mAh),Rudder,Elevator,Throttle,Aileron,Pot1,Pot2,Ext1,Ext2,Pot3,Slider left,Slider right,SA,SB,SC,SD,SE,SF,SG,SH,SI,SJ
7.72,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-500,456,385,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.71,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.71,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.71,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,456,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,456,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,456,385,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.7,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,387,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,458,387,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,387,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,458,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,-1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,387,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1017,0,-831,-500,457,386,-589,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,458,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-589,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,387,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.68,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-831,-500,457,386,-588,-1022,0,1,1,-1,1,1,1,1,-1,-1,-1
7.69,,,,,,,,,,,,,,,,,0,0,-1016,0,-830,-501,457,386,-588,-1023,0,1,1,-1,1,1,1,1,-1,-1,-1
