Date,Time,RSSI(dB),RxBt(V),Alt(m),VSpd(m/s),Cels(V),Celm(V),GSpd(kts),GPS,GAlt(m),Date,Dist(m),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-08-08,10:57:07.640,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,0,16,0,-942,204,0,0,0,-1024,6,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,0.0
2020-08-08,10:57:08.140,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,1,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:08.640,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,1,0,16,0,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:09.140,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:09.640,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,0,16,0,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:10.140,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:10.640,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:11.180,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:11.710,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,1,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:12.250,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:12.780,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-941,204,0,0,0,-1024,6,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:13.320,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:13.850,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,1,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:14.390,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,1,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:14.930,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,0,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:15.470,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,16,1,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0010,8.0
2020-08-08,10:57:16.010,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,1,-1,1024,1,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
2020-08-08,10:57:16.520,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
2020-08-08,10:57:17.040,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
2020-08-08,10:57:17.570,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
2020-08-08,10:57:18.100,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
2020-08-08,10:57:18.630,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-941,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
2020-08-08,10:57:19.150,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-941,204,0,0,0,1024,3,0,-1,1,0,-1,-1,1,-1,0x00000000000A8000,8.0
2020-08-08,10:57:19.690,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-941,204,0,0,0,1022,3,0,-1,1,0,-1,-1,1,-1,0x00000000000A8000,8.0
2020-08-08,10:57:20.200,0,0.0,0.0,0.0,0.00,0.00,0.0,,0.0,   0-00-00 00:00:00,0,0,-1,1024,1,-940,204,0,0,0,-1024,4,0,-1,1,0,-1,-1,1,-1,0x00000000000A0000,8.0
